ID,ชื่อคดีต้นฉบับ,คำแปลภาษาไทย
case_21,Case 21: Oil Kill You For This,คดีที่ 21: น้ำมันมรณะ
case_22,Case 22: They Bill You For Dying,คดีที่ 22: บิลค่าตายตามมาเก็บทีหลัง
case_23,Case 23: The Courthouse Killing,คดีที่ 23: สังหารคาศาลยุติธรรม
case_24,Case 24: Will the Foreman Please Die?,คดีที่ 24: หัวหน้าลูกขุนกรุณาไปตายทีเถอะครับ
case_25,Case 25: The Death of Justice,คดีที่ 25: ความตายที่โคตรยุติธรรม
Level 2,,
case_26,Case 26: The Murder of a Mailman,คดีที่ 26: ฆาตกรรมบุรุษไปรษณีย์
case_27,Case 27: A Mysterious Murder in the Mysterious Woods,คดีที่ 27: ฆาตกรรมลึกลับในป่าลับแล
case_28,Case 28: Investigation at the Investigation Institute,คดีที่ 28: สอบสวนป่วนสถาบันสืบสวน
case_29,"Case 29: Oh No, Not in the Chateau!",คดีที่ 29: โถ่เอ๊ย อย่ามาตายในคฤหาสน์สิ!
case_30,Case 30: The Case of the Definitely Dead President,คดีที่ 30: คดีท่านประธานาธิบดีตายแหงแก๋
case_31,Case 31: The New Moon Murder,คดีที่ 31: ฆาตกรรมคืนจันทร์ดับ
case_32,Case 32: The Case of the Lab with Legal Issues,คดีที่ 32: คดีแล็บวิจัยกับข้อกฎหมายปวดตับ
case_33,Case 33: A Recent Death in an Ancient Temple,คดีที่ 33: ศพใหม่เอี่ยมในวิหารโบราณ
case_34,Case 34: The Body in the Graveyard,คดีที่ 34: ศพปริศนาในป่าช้า
case_35,Case 35: Murder at the Cult: A True-Crime Documentary,คดีที่ 35: ฆาตกรรมลัทธิประหลาด: สารคดี True-Crime
case_36,Case 36: A Cruise to Die For,คดีที่ 36: ทริปล่องเรือมรณะ
case_37,Case 37: Logico Goes Home,คดีที่ 37: ลอจิโก้กลับบ้านเกิด
case_38,Case 38: Irratino Returns to His Estate,คดีที่ 38: อิร์ราติโน่คืนถิ่น
case_39,Case 39: The Case of the Haunted Hotel,คดีที่ 39: คดีโรงแรมผีสิง
case_40,Case 40: The Big-Money Big-Bank Murder,คดีที่ 40: ฆาตกรรมแบงก์ชาติ เงินล้านเปื้อนเลือด
case_41,Case 41: The Psychic Who Didn't Foresee His Death,คดีที่ 41: ร่างทรงที่มองไม่เห็นความตายตัวเอง
case_42,Case 42: The Return of the Coffee Shop Killer,คดีที่ 42: การกลับมาของนักฆ่าบาริสต้า
case_43,Case 43: The Heinous Crime of Penguicide,คดีที่ 43: คดีอุกฉกรรจ์ฆ่าล้างเผ่าพันธุ์เพนกวิน
case_44,Case 44: Murder on the Stage,คดีที่ 44: สังหารกลางเวที
case_45,Case 45: Fade In to a Murder Mystery,คดีที่ 45: ภาพค่อยๆ ปรากฏเป็นปริศนาฆาตกรรม
case_46,Case 46: A Cruise to Die For 2,คดีที่ 46: ทริปล่องเรือมรณะ 2
case_47,Case 47: The Mystery of the Mysterious Island,คดีที่ 47: ปริศนาเกาะลี้ลับ
case_48,Case 48: The Body in the Moonlit Ruins,คดีที่ 48: ศพในซากปรักหักพังใต้แสงจันทร์
case_49,Case 49: Death in the Dead Woods,คดีที่ 49: ความตายในป่ามรณะ
case_50,Case 50: The Killing of Irratino,คดีที่ 50: การสังหารอิร์ราติโน่
Level 3,,
case_51,Case 51: The Grave Death at the Graveyard,คดีที่ 51: ความตายอันหนักอึ้ง ณ ป่าช้า
case_52,Case 52: A Return to the Institute,คดีที่ 52: กลับคืนสู่สถาบัน
case_53,Case 53: The Walk in the Mysterious Woods,คดีที่ 53: เดินเล่นชิลๆ ในป่าลี้ลับ
case_54,Case 54: And Then There Was Another One Again,คดีที่ 54: แล้วก็... โดนสอยไปอีกหนึ่ง (อีกละ!)
case_55,"Case 55: Unusual Webbing, Unnatural Crimes",คดีที่ 55: ใยแมงมุมประหลาดกับคดีเหนือธรรมชาติ
case_56,Case 56: The Ruins of a Village,คดีที่ 56: ซากปรักหักพังในหมู่บ้าน
case_57,Case 57: Sing a Hymn of Horror,คดีที่ 57: บทสวดแห่งความสยองขวัญ
case_58,Case 58: A Maze of Death and Hedges,คดีที่ 58: เขาวงกตแห่งความตายและพุ่มไม้
case_59,Case 59: I Yacht to Kill You for This,คดีที่ 59: แค้นนี้ต้องชำระ
case_60,Case 60: Death on the Commune: A True-Crime Sequel,คดีที่ 60: ความตายในลัทธิ: ภาคต่อสารคดี True-Crime
case_61,Case 61: The Island of Bad Dreams,คดีที่ 61: เกาะแห่งฝันร้าย
case_62,Case 62: You Can Go Home Again,คดีที่ 62: คุณก็กลับบ้านได้นะ
case_63,Case 63: The Body in the Snowdrift,คดีที่ 63: ศพในกองหิมะ
case_64,Case 64: Deduction College,คดีที่ 64: วิทยาลัยนักสืบ
case_65,Case 65: Like Old Times in Old Main,คดีที่ 65: วันวานอันหวานชื่นที่ตึกเก่า
case_66,Case 66: Vive La Révolution!,คดีที่ 66: การปฏิวัติจงเจริญ!
case_67,Case 67: King Arthur and the Murder of a Jester,คดีที่ 67: คิงอาร์เธอร์กับฆาตกรรมตัวตลก
case_68,"Case 68: Houston, We Have a Body",คดีที่ 68: ฮิวสตัน! เราพบศพแล้ว
case_69,Case 69: The Magical Mystery Murder,คดีที่ 69: ฆาตกรรมเวทมนตร์ลึกลับ
case_70,Case 70: Death in an Even Darker Alley,คดีที่ 70: ความตายในซอยที่มืดกว่าเดิม
case_71,"Case 71: New Age, New Murder!",คดีที่ 71: ยุคใหม่ ฆาตกรรมใหม่!
case_72,Case 72: Prism or Prison?,คดีที่ 72: ปริซึมหรือคุกกันแน่?
case_73,Case 73: Kitschy Kitschy Killing,คดีที่ 73: เชือดแบบคิทช์คิทช์
case_74,"Case 74: UFO, WHAT’D YOU KNOW?",คดีที่ 74: ยูเอฟโอ รู้อะไรมาบ้างห๊ะ!?
case_75,Case 75: REVENGE IN THE CAVE,คดีที่ 75: ชำระแค้นในถ้ำ
Level 4,,
case_76,Case 76: Hooray for Hollywood!,คดีที่ 76: ไชโยฮอลลีวูด!
case_77,Case 77: Logico Goes to a Hollywood Party,คดีที่ 77: ลอจิโก้ไปปาร์ตี้ฮอลลีวูด
case_78,Case 78: Plenty of Kills in the Sea,คดีที่ 78: ทะเลนี้มีแต่ศพ
case_79,Case 79: Murder at the Movies,คดีที่ 79: ฆาตกรรมในโรงหนัง
case_80,Case 80: The Cost of the Rent is the Real Killer,คดีที่ 80: ค่าเช่าโหดคือฆาตกรตัวจริง!
case_81,Case 81: The Murder at MysteryCon,คดีที่ 81: ฆาตกรรมในงาน Mystery-Con
case_82,Case 82: Murder in the Park,คดีที่ 82: ฆาตกรรมในสวนสาธารณะ
case_83,Case 83: Parking is Murder,คดีที่ 83: หาที่จอดรถนี่แหละนรกสุดยอด
case_84,Case 84: The Tour of Death,คดีที่ 84: ทัวร์มรณะ
case_85,Case 85: Quiet on Set... Too Quiet!,คดีที่ 85: เงียบเกินไปแล้ว!
case_86,Case 86: Murder on Sound Stage B,คดีที่ 86: ฆาตกรรมบนโรงถ่าย B
case_87,Case 87: The Water Tower Bar & Kill,คดีที่ 87: บาร์หอคอยน้ำกับนักฆ่า
case_88,Case 88: The Real Murder at the Fake Estate,คดีที่ 88: ฆาตกรรมของจริงในคฤหาสน์ของปลอม
case_89,Case 89: The Post-Production Process,คดีที่ 89: กระบวนการหลังการตาย
case_90,Case 90: Death at the Agency,คดีที่ 90: ความตายของเอเจนซี่
case_91,Case 91: They Bill You Double for Dying,คดีที่ 91: พวกเขาเก็บค่าตายคุณสองเท่า
case_92,Case 92: Murder at the Mystery Show,คดีที่ 92: ฆาตกรรมในรายการลี้ลับ
case_93,Case 93: Death in the Magick Shoppe,คดีที่ 93: ความตายในร้านเวทมนตร์
case_94,Case 94: A Ritual Killing,คดีที่ 94: การสังหารหมู่เชิงพิธีกรรม
case_95,Case 95: A Free Press Can Cost a Killing,คดีที่ 95: เสรีภาพสื่อต้องแลกด้วยชีวิต
case_96,Case 96: Breaking and Investigating,คดีที่ 96: จับให้มั่นคั้นให้ตาย
case_97,Case 97: Bungalow Moral Character,คดีที่ 97: จริยธรรมในบังกะโล
case_98,Case 98: Stage Fright,คดีที่ 98: ตื่นเวที
case_99,Case 99: The Founding of Midnight Movies,คดีที่ 99: จุดกำเนิดหนังกะดึก
case_100,Case 100: Murder at the Murdle Premiere,คดีที่ 100: ฆาตกรรมในงานเปิดตัว Murdle
