👤 1. ผู้ต้องสงสัย (Suspects),,
,,
ชื่อผู้ต้องสงสัย,ไอคอนแนะนำ (FontAwesome Pro),เหตุผล
เซอร์ รูเลียน (Sir Rulean),fa-solid fa-chess-knight,อัศวินชราเจ้าของชื่อที่แท้จริง
มนุษย์อวกาศ บลูสกี้ (Cosmonaut Bluski),fa-solid fa-rocket,มนุษย์อวกาศโซเวียตผู้รักชาติ
ปรมาจารย์เล่นแร่แปรธาตุ เรเวน (Raven),fa-solid fa-flask-round-potion,นักเล่นแร่แปรธาตุผู้เกลียดมุกตลกเมาสาร
ซูเปอร์แฟน สโมคกี้ (Superfan Smoky),fa-solid fa-camera-retro,แฟนคลับตัวยงผู้รู้ทุกสถานที่ถ่ายทำ
เบบี้เฟซ บลู (Babyface Blue),fa-solid fa-baby,ชายร่างยักษ์ผู้ทำตัวเหมือนเด็ก
"ทนายแบล็กสโตน (Blackstone, Esq.)",fa-solid fa-scale-balanced,ทนายความจอมเก็บเงิน
ซิลเวอร์ตัน ระดับตำนาน (Silverton),fa-solid fa-masks-theater,นักแสดงอาวุโสแห่งยุคทอง
จอมเทพโคบอลต์ (Master Cobalt),fa-solid fa-wand-magic-sparkles,เจ้าสำนักผู้สวมชุดขาวเคราเฟิ้ม
นักเลขศาสตร์ไนท์ (Numerologist Night),fa-solid fa-calculator,อัจฉริยะด้านคณิตศาสตร์และศาสตร์ลี้ลับ
ดร. ซีเชลล์ (Dr. Seashell),fa-solid fa-tooth,ทันตแพทย์ผู้มีทฤษฎีควอนตัม
เชฟออเบอร์จีน (Chef Aubergine),fa-solid fa-utensils,เชฟผู้มีข่าวลือสยองขวัญเรื่องสามี
เอิร์ลเกรย์ (Earl Grey),fa-solid fa-mug-tea,ทายาทตระกูลชาชื่อดัง
รัฐมนตรี เซลาดอน (Secretary Celadon),fa-solid fa-shield-halved,รัฐมนตรีว่าการกระทรวงกลาโหม
นักสังคมวิทยา อัมเบอร์ (Umber),fa-solid fa-microscope,นักสังคมวิทยาผู้เป็นแม่มดด้วย
นักสมุนไพร ออนิกซ์ (Herbalist Onyx),fa-solid fa-leaf,ผู้ปลูกพืชทุกชนิดแม้กระทั่งพิษ
,,
🔪 2. อาวุธ (Weapons),,
ชื่ออาวุธ,ไอคอนแนะนำ,
ไหมพรม (Yarn),fa-solid fa-ball-pile,
ปืนคาบศิลาโบราณ (Flintlock),fa-solid fa-gun,
ไม้นิตติ้ง (Knitting Needle),fa-solid fa-needle,
ขวดไซยาไนด์ (Cyanide),fa-solid fa-flask-poison,
ปากกาทองคำ (Commemorative Pen),fa-solid fa-pen-nib,
สัญญาที่น่าสับสน (Contracts),fa-solid fa-file-contract,
ถุงผ้าโท้ท (Tote Bag),fa-solid fa-bag-shopping,
สมอเรือโบราณ (Anchor),fa-solid fa-anchor,
ท่ออะลูมิเนียม (Aluminum Pipe),fa-solid fa-pipe-section,
นาฬิกาโบราณ (Antique Clock),fa-solid fa-clock,
แว่นขยาย (Magnifying Glass),fa-solid fa-magnifying-glass,
ดาบเก่า (Old Sword),fa-solid fa-sword,
ขวาน (Axe),fa-solid fa-axe,
ไม้กวาด (Broom),fa-solid fa-broom,
กะโหลกคริสตัล/มนุษย์ (Skull),fa-solid fa-skull,
วัตถุโบราณเอเลี่ยน (Alien Artifact),fa-solid fa-ufo,
ส้อม (Fork),fa-solid fa-utensils,
อิฐธรรมดา (Ordinary Brick),fa-solid fa-brick,
สายประคำ (Prayer Beads),fa-solid fa-dharmachakra,
เทียนอธิษฐาน (Prayer Candle),fa-solid fa-candle-holder,
ไวน์ศักดิ์สิทธิ์ (Sacramental Wine),fa-solid fa-wine-glass,
ขวดน้ำมันศักดิ์สิทธิ์ (Sacred Oil),fa-solid fa-oil-can,
ดินสอแหลม (Sharp Pencil),fa-solid fa-pencil,
เป้หนังสือหนัก (Heavy Backpack),fa-solid fa-backpack,
รูปปั้นครึ่งตัว (Marble Bust),fa-solid fa-monument,
คอมพิวเตอร์เครื่องเก่า (Old Computer),fa-solid fa-computer,
ตำราการเมือง (Political Treatise),fa-solid fa-book-section,
คทาศักดิ์สิทธิ์ (Sacred Scepter),fa-solid fa-wand-magic,
เอกซ์คาลิเบอร์ (Excalibur),fa-solid fa-sword-laser,
จอกศักดิ์สิทธิ์ (The Grail),fa-solid fa-wine-glass-empty,
ถังออกซิเจน (Air Tank),fa-solid fa-oxygen,
แบตเตอรี่ก้อนใหญ่ (Big Battery),fa-solid fa-battery-full,
หินดวงจันทร์/ก้อนหิน (Moon Rock),fa-solid fa-gem,
เลื่อย (Saw),fa-solid fa-saw,
กระต่ายอันตราย (Vicious Rabbit),fa-solid fa-rabbit,
พลั่ว (Shovel),fa-solid fa-shovel,
ปลาเรดเฮร์ริง (Red Herring),fa-solid fa-fish,
ขวดยาพิษ (Vial of Poison),fa-solid fa-vial,
ไม้พยากรณ์แหล่งน้ำ (Dowsing Rod),fa-solid fa-wand-sparkles,
ช้อน (Spoon),fa-solid fa-spoon,
แม่เหล็กยักษ์ (Giant Magnet),fa-solid fa-magnet,
,,
📍 3. สถานที่ (Locations),,
ชื่อสถานที่,ไอคอนแนะนำ,
พื้นที่พัฒนาใหม่ (New Development),fa-solid fa-trowel-bricks,
ซากปรักหักพังโบราณ (Ancient Ruins),fa-solid fa-monument,
ห้องสวดมนต์ (Chapel),fa-solid fa-church,
สวนแสนประณีต (Quaint Garden),fa-solid fa-seedling,
ห้องรับประทานอาหาร (Dining Hall),fa-solid fa-utensils,
ดาดฟ้าเรือ (Deck),fa-solid fa-ship,
โรงโม่เก่า (Old Mill),fa-solid fa-windmill,
ห้องสมุด (Library),fa-solid fa-books,
ป่ามรณะ (Dead Woods),fa-solid fa-tree-canopy,
ซากเรือสำราญ (Wrecked Ship),fa-solid fa-anchor-lock,
โบสถ์ร้าง (Ruined Church),fa-solid fa-house-chimney-crack,
ประภาคารริมหน้าผา (Lighthouse),fa-solid fa-lighthouse,
ร้านของมือสอง (Secondhand Shop),fa-solid fa-shirt,
ลานสมาธิ (Meditation Space),fa-solid fa-spa,
ห้องครัว (Kitchen),fa-solid fa-fire-burner,
รถตู้รัฐบาล (Government Van),fa-solid fa-truck-container,
ทางตัน (Dead End),fa-solid fa-road-barrier,
ยานลูนาร์แลนเดอร์ (Lunar Lander),fa-solid fa-rocket,
,,
💡 4. แรงจูงใจ (Motives),,
แรงจูงใจ,ไอคอนแนะนำ,
ขโมยไอเดีย (Steal an idea),fa-solid fa-lightbulb,
โกงอสังหาฯ (Real estate scam),fa-solid fa-building-circle-exclamation,
ขโมยศพ (Steal a body),fa-solid fa-skull-crossbones,
ไล่หมี (Scare a bear away),fa-solid fa-bear-track,
เพื่อการปฏิวัติ (For the revolution),fa-solid fa-fist-raised,
แก้แค้นให้พ่อ (Avenge father),fa-solid fa-user-shield,
เหตุผลทางศาสนา (Religious reasons),fa-solid fa-hands-praying,
ทดลองวิทยาศาสตร์ (Scientific experiment),fa-solid fa-microscope,
ปกป้องความลับ (Protect a secret),fa-solid fa-key,
เพิ่มยอดขาย (Improve book sales),fa-solid fa-chart-line,
ปล้นสุสาน (Rob a grave),fa-solid fa-tombstone,
เพื่อเงิน (For money),fa-solid fa-money-bill-1,
พิสูจน์รัก (Prove their love),fa-solid fa-heart,
พิสูจน์ประเด็น (Prove a point),fa-solid fa-comment-check,
ผีบังคับ (Ghost made them),fa-solid fa-ghost,
ปิดปากพยาน (Silence a witness),fa-solid fa-comment-slash,
,,
