👤 1. ผู้ต้องสงสัย (Suspects),,
ชื่อผู้ต้องสงสัย (ไทย),ลักษณะ/เอกลักษณ์จากรูป,Font Awesome Pro Icon
ลูกโลก,fa-solid fa-globe,
ยางอะไหล่,fa-solid fa-tire,
ลิงที่ถูกฝึกมา,fa-solid fa-monkey,
ก้อนหิน,fa-solid fa-cubes,
,,
🗺️ 3. สถานที่ (Locations),,
ชื่อสถานที่ (ไทย),Font Awesome Pro Icon,
ห้องน้ำ / ห้องน้ำขนาดมหึมา,fa-solid fa-bath,
ห้องนอน / ห้องนอนใหญ่,fa-solid fa-bed,
ห้องฉายภาพยนตร์ / หน้าจอฉายหนัง,fa-solid fa-film,
หน้าผา / ริมหน้าผา,fa-solid fa-mountain,
ซากปรักหักพังโบราณ,fa-solid fa-archway,
ท่าเรือ,fa-solid fa-anchor,
สวนดาดฟ้า / ดาดฟ้า,fa-solid fa-roof-top,
โถงทางเข้า / ทางเข้าหลัก,fa-solid fa-door-open,
สตูดิโอศิลปะ,fa-solid fa-palette,
หัวรถจักร,fa-solid fa-train,
ตู้โดยสารท้ายขบวน,fa-solid fa-train-tram,
หลังคารถไฟ,fa-solid fa-arrow-up,
ลานจอดรถ,fa-solid fa-square-p,
ร้านขายของที่ระลึก / ร้านขายขนม,fa-solid fa-gift,
รั้วเหล็ก,fa-solid fa-bars,
ถังขยะยักษ์,fa-solid fa-trash-can,
กำแพงกราฟฟิตี้,fa-solid fa-spray-can,
คฤหาสน์ / คฤหาสน์ที่อาจมีผีสิง,fa-solid fa-house-chimney,
อาสนวิหาร / โบสถ์ร้าง,fa-solid fa-church,
ห้องใต้หลังคาสยองขวัญ,fa-solid fa-spider,
สวนในคฤหาสน์ / บริเวณสวน,fa-solid fa-tree,
น้ำพุ,fa-solid fa-fountain,
หอสังเกตการณ์ / หอดูดาว,fa-solid fa-telescope,
เคาน์เตอร์บาร์กลางร้าน,fa-solid fa-martini-glass,
ที่นั่งมุมร้าน,fa-solid fa-couch,
ลานกลางแจ้ง,fa-solid fa-tree-city,
ห้องเก็บเมล็ดกาแฟ,fa-solid fa-sack,
เคาน์เตอร์ / เคาน์เตอร์ด้านหน้า,fa-solid fa-cash-register,
ชั้นวางสินค้าลดราคา,fa-solid fa-tags,
ห้องหนังสือหายาก,fa-solid fa-book-open,
ซาลูน,fa-solid fa-beer-mug-empty,
บ่อน้ำดื่ม,fa-solid fa-glass-water,
โรงแรม,fa-solid fa-hotel,
สถาบันการสอบสวน,fa-solid fa-building,
ร้านกาแฟ,fa-solid fa-mug-hot,
น้ำวนยักษ์,fa-solid fa-hurricane,
อ่าวโจรสลัด / อ่าวอันเงียบสงบ,fa-solid fa-umbrella-beach,
เรือโจรสลัด / ดาดฟ้าเรือ,fa-solid fa-ship,
ระเบียง,fa-solid fa-door-open,
ออฟฟิศที่ดีที่สุด / ห้องทนายความ,fa-solid fa-briefcase,
ห้องพิจารณาต้นฉบับ / ห้องต้มน้ำ,fa-solid fa-fire,
ห้องเครื่อง / ห้องฟันเฟืองนาฬิกา,fa-solid fa-gear,
ห้องรับประทานอาหาร,fa-solid fa-utensils,
เวที / เวทีแสดง,fa-solid fa-masks-theater,
โต๊ะผู้ถูกเสนอชื่อ,fa-solid fa-table,
หลังเวที,fa-solid fa-people-arrows,
ฮอลลีวูด,fa-solid fa-video,
เทคโทเปีย,fa-solid fa-city,
สาธารณรัฐดราโกเนีย,fa-solid fa-flag,
ออฟฟิศหลัก / โต๊ะทำงาน,fa-solid fa-desktop,
ตู้เสื้อผ้า,fa-solid fa-door-closed,
ห้องนั่งรอ / โซฟา,fa-solid fa-couch,
แท่นขุดเจาะน้ำมัน,fa-solid fa-oil-well,
โถงต้อนรับ,fa-solid fa-bell-concierge,
ห้องพิจารณาคดี / บัลลังก์ผู้พิพากษา,fa-solid fa-gavel,
ห้องพักผู้พิพากษา,fa-solid fa-scale-balanced,
ที่นั่งสาธารณะ / คอกคณะลูกขุน,fa-solid fa-users,
สปา,fa-solid fa-spa,
หินรูปหัวกะโหลก,fa-solid fa-skull,
ถนนสายเดียว / ถนนหน้าคฤหาสน์,fa-solid fa-road,
เขาวงกตต้นไม้ที่เป็นไปไม่ได้,fa-solid fa-map,
สนามมินิกอล์ฟ,fa-solid fa-golf-club,
ห้องบอลรูม,fa-solid fa-music,
บันไดหนังสือ,fa-solid fa-stairs,
กองไฟกลาง,fa-solid fa-fire,
ป่าทึบ / ป่ามรณะ / ป่าหลังเวที,fa-solid fa-tree-canopy,
เตียงผ่าตัด,fa-solid fa-bed-pulse,
คันโยกยักษ์,fa-solid fa-toggle-on,
ห้องศักดิ์สิทธิ์ / แท่นบูชาร้าว,fa-solid fa-place-of-worship,
โคลัมบาเรียม,fa-solid fa-urn,
สุสานหินขนาดมหึมา,fa-solid fa-monument,
ค่ายที่พัก,fa-solid fa-tents,
ห้องสมุด,fa-solid fa-book-open-reader,
ห้องพักกัปตัน,fa-solid fa-ship,
ห้องเก็บสินค้า,fa-solid fa-boxes-stacked,
นอกเรือ,fa-solid fa-water,
ร้านอาหารแฟรนไชส์,fa-solid fa-burger,
ร้านของมือสอง,fa-solid fa-shirt,
เต็นท์รถมือสอง,fa-solid fa-car,
โรงรถห้าสิบคัน,fa-solid fa-garage,
ห้องด้านหลัง,fa-solid fa-print,
ห้องนิรภัย,fa-solid fa-vault,
ห้องแยกตัว,fa-solid fa-person-booth,
ห้องปิงปอง,fa-solid fa-table-tennis-paddle-ball,
ทุ่งน้ำแข็งรกร้าง,fa-solid fa-snowflake,
ป้อมขายตั๋ว,fa-solid fa-ticket,
ประภาคารริมหน้าผา / ตัวประภาคาร,fa-solid fa-lighthouse,
ม้านั่งที่ถูกน้ำท่วม,fa-solid fa-chair,
ต้นไม้หงิกงอ / ต้นไม้ด้านหน้า,fa-solid fa-tree,
ถ้ำเคลื่อนที่,fa-solid fa-mountain-sun,
เครื่องปั่นไฟ,fa-solid fa-plug,
